Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp,date_not_time
2024-10-12 08:02:27+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070300,2024-10-12 08:02:27+00:00,2024-10-12
2024-10-12 23:03:26+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070500,2024-10-12 23:03:26+00:00,2024-10-12
2024-10-13 05:02:28+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070600,2024-10-13 05:02:28+00:00,2024-10-13
2024-10-13 13:32:34+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070700,2024-10-13 13:32:34+00:00,2024-10-13
2024-10-13 23:32:41+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070800,2024-10-13 23:32:41+00:00,2024-10-13
2024-10-14 23:33:22+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070800,2024-10-14 23:33:22+00:00,2024-10-14
2024-10-15 18:13:23+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070700,2024-10-15 18:13:23+00:00,2024-10-15
2024-10-15 16:18:34+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070700,2024-10-15 16:18:34+00:00,2024-10-15
2024-10-16 01:03:27+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070600,2024-10-16 01:03:27+00:00,2024-10-16
2024-10-16 14:48:36+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070500,2024-10-16 14:48:36+00:00,2024-10-16
2024-10-16 23:03:45+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070400,2024-10-16 23:03:45+00:00,2024-10-16
2024-10-17 03:33:24+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070200,2024-10-17 03:33:24+00:00,2024-10-17
2024-10-17 11:18:08+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070100,2024-10-17 11:18:08+00:00,2024-10-17
2024-10-17 16:17:10+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.070400,2024-10-17 16:17:10+00:00,2024-10-17
